X : 1 if unit j processes task i starting at time t
    Size=2135, Index=X_index
    Key                      : Lower : Value : Upper : Fixed : Stale : Domain
      ('Mix', 'R_small', 22) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 23) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 24) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 25) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 26) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 27) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 28) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 29) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 30) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 31) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 32) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 33) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 34) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 35) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 36) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 37) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 38) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 39) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 40) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 41) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 42) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 43) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 44) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 45) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 46) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 47) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 48) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 49) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 50) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 51) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 52) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 53) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 54) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 55) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 56) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 57) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 58) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 59) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 60) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 0) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 1) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 2) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 3) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 4) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 5) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 6) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 7) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 8) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 9) :     0 :     0 :     1 :  True :  True : Binary
          ('Mix', 'Sep', 10) :     0 :     0 :     1 :  True :  True : Binary
          ('Mix', 'Sep', 11) :     0 :     0 :     1 :  True :  True : Binary
          ('Mix', 'Sep', 12) :     0 :     0 :     1 :  True :  True : Binary
          ('Mix', 'Sep', 13) :     0 :     0 :     1 :  True :  True : Binary
          ('Mix', 'Sep', 14) :     0 :     0 :     1 :  True :  True : Binary
          ('Mix', 'Sep', 15) :     0 :     0 :     1 :  True :  True : Binary
          ('Mix', 'Sep', 16) :     0 :     0 :     1 :  True :  True : Binary
          ('Mix', 'Sep', 17) :     0 :     0 :     1 :  True :  True : Binary
          ('Mix', 'Sep', 18) :     0 :     0 :     1 :  True :  True : Binary
          ('Mix', 'Sep', 19) :     0 :     0 :     1 :  True :  True : Binary
          ('Mix', 'Sep', 20) :     0 :     0 :     1 :  True :  True : Binary
          ('Mix', 'Sep', 21) :     0 :     0 :     1 :  True :  True : Binary
          ('Mix', 'Sep', 22) :     0 :     0 :     1 :  True :  True : Binary
          ('Mix', 'Sep', 23) :     0 :     0 :     1 :  True :  True : Binary
