X : 1 if unit j processes task i starting at time t
    Size=1015, Index=X_index
    Key                      : Lower : Value : Upper : Fixed : Stale : Domain
        ('Pack1', 'Sep', 14) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack1', 'Sep', 15) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack1', 'Sep', 16) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack1', 'Sep', 17) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack1', 'Sep', 18) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack1', 'Sep', 19) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack1', 'Sep', 20) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack1', 'Sep', 21) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack1', 'Sep', 22) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack1', 'Sep', 23) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack1', 'Sep', 24) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack1', 'Sep', 25) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack1', 'Sep', 26) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack1', 'Sep', 27) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack1', 'Sep', 28) :     0 :     0 :     1 :  True :  True : Binary
         ('Pack2', 'Mix', 0) :     0 :     0 :     1 :  True :  True : Binary
         ('Pack2', 'Mix', 1) :     0 :     0 :     1 :  True :  True : Binary
         ('Pack2', 'Mix', 2) :     0 :     0 :     1 :  True :  True : Binary
         ('Pack2', 'Mix', 3) :     0 :     0 :     1 :  True :  True : Binary
         ('Pack2', 'Mix', 4) :     0 :     0 :     1 :  True :  True : Binary
         ('Pack2', 'Mix', 5) :     0 :     0 :     1 :  True :  True : Binary
         ('Pack2', 'Mix', 6) :     0 :     0 :     1 :  True :  True : Binary
         ('Pack2', 'Mix', 7) :     0 :     0 :     1 :  True :  True : Binary
         ('Pack2', 'Mix', 8) :     0 :     0 :     1 :  True :  True : Binary
         ('Pack2', 'Mix', 9) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 10) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 11) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 12) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 13) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 14) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 15) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 16) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 17) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 18) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 19) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 20) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 21) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 22) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 23) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 24) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 25) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 26) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 27) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Mix', 28) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Pack', 0) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Pack', 1) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Pack', 2) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Pack', 3) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Pack', 4) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Pack', 5) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Pack', 6) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Pack', 7) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Pack', 8) :     0 :     0 :     1 :  True :  True : Binary
        ('Pack2', 'Pack', 9) :     0 :     0 :     1 :  True :  True : Binary
       ('Pack2', 'Pack', 10) :     0 :     0 :     1 :  True :  True : Binary
       ('Pack2', 'Pack', 11) :     0 :     0 :     1 :  True :  True : Binary
       ('Pack2', 'Pack', 12) :     0 :     0 :     1 :  True :  True : Binary
       ('Pack2', 'Pack', 13) :     0 :     0 :     1 :  True :  True : Binary
       ('Pack2', 'Pack', 14) :     0 :     0 :     1 :  True :  True : Binary
       ('Pack2', 'Pack', 15) :     0 :     0 :     1 :  True :  True : Binary
       ('Pack2', 'Pack', 16) :     0 :     0 :     1 :  True :  True : Binary
       ('Pack2', 'Pack', 17) :     0 :     0 :     1 :  True :  True : Binary
       ('Pack2', 'Pack', 18) :     0 :     0 :     1 :  True :  True : Binary
       ('Pack2', 'Pack', 19) :     0 :     1 :     1 :  True :  True : Binary
       ('Pack2', 'Pack', 20) :     0 :     0 :     1 :  True :  True : Binary
       ('Pack2', 'Pack', 21) :     0 :     0 :     1 :  True :  True : Binary
       ('Pack2', 'Pack', 22) :     0 :     0 :     1 :  True :  True : Binary
       ('Pack2', 'Pack', 23) :     0 :     0 :     1 :  True :  True : Binary
       ('Pack2', 'Pack', 24) :     0 :     0 :     1 :  True :  True : Binary
       ('Pack2', 'Pack', 25) :     0 :     1 :     1 :  True :  True : Binary
       ('Pack2', 'Pack', 26) :     0 :     0 :     1 :  True :  True : Binary
       ('Pack2', 'Pack', 27) :     0 :     0 :     1 :  True :  True : Binary
