Vreactor : Reactive mixture volume for reaction I in reactor J [m^3]
    Size=6, Index=Vreactor_index
    Key               : Lower : Value             : Upper : Fixed : Stale : Domain
    ('R1', 'R_large') :  0.15 : 0.317443333207311 :   1.5 : False : False : NonNegativeReals
    ('R1', 'R_small') :   0.1 : 0.897709684728278 :     1 : False : False : NonNegativeReals
    ('R2', 'R_large') :  0.15 : 1.388888888888889 :   1.5 : False : False : NonNegativeReals
    ('R2', 'R_small') :   0.1 : 0.100002572486052 :     1 : False : False : NonNegativeReals
    ('R3', 'R_large') :  0.15 : 1.401046590793599 :   1.5 : False : False : NonNegativeReals
    ('R3', 'R_small') :   0.1 : 0.265620075873068 :     1 : False : False : NonNegativeReals

Cvar_(R1,R_large) : Component composition profile [kmol/m^3]
    Size=183, Index='Cvar_(R1,R_large)_index'
    Key             : Lower : Value             : Upper : Fixed : Stale : Domain
           (0, 'B') :  0.05 :               1.0 :   1.0 : False : False : NonNegativeReals
        (1.95, 'D') :   0.0 : 1.865201683966131 :   1.9 : False : False : NonNegativeReals
    (1.973258, 'B') :  0.05 : 0.066282061721162 :   1.0 : False : False : NonNegativeReals
    (1.973258, 'C') :  0.05 : 0.066282061721162 :   1.0 : False : False : NonNegativeReals
    (1.973258, 'D') :   0.0 : 1.867435876557624 :   1.9 : False : False : NonNegativeReals
    (2.046742, 'B') :  0.05 : 0.062921366077925 :   1.0 : False : False : NonNegativeReals
    (2.046742, 'C') :  0.05 : 0.062921366077925 :   1.0 : False : False : NonNegativeReals
    (2.046742, 'D') :   0.0 : 1.874157267844096 :   1.9 : False : False : NonNegativeReals
         (2.1, 'B') :  0.05 : 0.060726828829318 :   1.0 : False : False : NonNegativeReals
         (2.1, 'C') :  0.05 : 0.060726828829318 :   1.0 : False : False : NonNegativeReals
         (2.1, 'D') :   0.0 : 1.878546342341307 :   1.9 : False : False : NonNegativeReals
    (2.123258, 'B') :  0.05 : 0.059861684336259 :   1.0 : False : False : NonNegativeReals
    (2.123258, 'C') :  0.05 : 0.059861684336259 :   1.0 : False : False : NonNegativeReals
    (2.123258, 'D') :   0.0 : 1.880276631327426 :   1.9 : False : False : NonNegativeReals
    (2.196742, 'B') :  0.05 : 0.057613923969044 :   1.0 : False : False : NonNegativeReals
    (2.196742, 'C') :  0.05 : 0.057613923969044 :   1.0 : False : False : NonNegativeReals
    (2.196742, 'D') :   0.0 : 1.884772152061854 :   1.9 : False : False : NonNegativeReals
        (2.25, 'B') :  0.05 : 0.056359636767878 :   1.0 : False : False : NonNegativeReals
        (2.25, 'C') :  0.05 : 0.056359636767878 :   1.0 : False : False : NonNegativeReals
        (2.25, 'D') :   0.0 : 1.887280726464183 :   1.9 : False : False : NonNegativeReals
    (2.273258, 'B') :  0.05 : 0.055889445812976 :   1.0 : False : False : NonNegativeReals
    (2.273258, 'C') :  0.05 : 0.055889445812976 :   1.0 : False : False : NonNegativeReals
    (2.273258, 'D') :   0.0 : 1.888221108373988 :   1.9 : False : False : NonNegativeReals
    (2.346742, 'B') :  0.05 : 0.054628276409462 :   1.0 : False : False : NonNegativeReals
    (2.346742, 'C') :  0.05 : 0.054628276409462 :   1.0 : False : False : NonNegativeReals
    (2.346742, 'D') :   0.0 : 1.890743447181016 :   1.9 : False : False : NonNegativeReals
         (2.4, 'B') :  0.05 : 0.053890197964355 :   1.0 : False : False : NonNegativeReals
         (2.4, 'C') :  0.05 : 0.053890197964355 :   1.0 : False : False : NonNegativeReals
         (2.4, 'D') :   0.0 : 1.892219604071226 :   1.9 : False : False : NonNegativeReals
    (2.423258, 'B') :  0.05 : 0.053605579318626 :   1.0 : False : False : NonNegativeReals
    (2.423258, 'C') :  0.05 : 0.053605579318626 :   1.0 : False : False : NonNegativeReals
    (2.423258, 'D') :   0.0 : 1.892788841362686 :   1.9 : False : False : NonNegativeReals
    (2.496742, 'B') :  0.05 : 0.052830478988714 :   1.0 : False : False : NonNegativeReals
    (2.496742, 'C') :  0.05 : 0.052830478988714 :   1.0 : False : False : NonNegativeReals
