rho_minus : Fraction of material in state k consumed by task i 
    Size=1125, Index=rho_minus_index
    Key              : Lower : Value             : Upper : Fixed : Stale : Domain
    ('T2', 'S2', 17) :     0 :               1.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S2', 18) :     0 :               1.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S2', 19) :     0 :               1.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S2', 20) :     0 :               1.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S2', 21) :     0 :               1.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S2', 22) :     0 :               1.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S2', 23) :     0 :               1.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S2', 24) :     0 : 0.855977272727273 :     1 : False : False : NonNegativeReals
     ('T2', 'S3', 0) :     0 : 0.144022727272727 :     1 : False : False : NonNegativeReals
     ('T2', 'S3', 1) :     0 : 0.215354166666667 :     1 : False : False : NonNegativeReals
     ('T2', 'S3', 2) :     0 :               0.0 :     1 : False : False : NonNegativeReals
     ('T2', 'S3', 3) :     0 :               0.0 :     1 : False : False : NonNegativeReals
     ('T2', 'S3', 4) :     0 :               0.0 :     1 : False : False : NonNegativeReals
     ('T2', 'S3', 5) :     0 :               0.0 :     1 : False : False : NonNegativeReals
     ('T2', 'S3', 6) :     0 :               0.0 :     1 : False : False : NonNegativeReals
     ('T2', 'S3', 7) :     0 :               0.0 :     1 : False : False : NonNegativeReals
     ('T2', 'S3', 8) :     0 :               0.0 :     1 : False : False : NonNegativeReals
     ('T2', 'S3', 9) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 10) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 11) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 12) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 13) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 14) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 15) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 16) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 17) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 18) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 19) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 20) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 21) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 22) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 23) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 24) :     0 : 0.144022727272727 :     1 : False : False : NonNegativeReals
     ('T2', 'S4', 0) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T2', 'S4', 1) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T2', 'S4', 2) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T2', 'S4', 3) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T2', 'S4', 4) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T2', 'S4', 5) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T2', 'S4', 6) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T2', 'S4', 7) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T2', 'S4', 8) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T2', 'S4', 9) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 10) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 11) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 12) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 13) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 14) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 15) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 16) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 17) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 18) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 19) :     0 :              None :     1 : False :  True : NonNegativeReals
