X : 1 if unit j processes task i starting at time t
    Size=3955, Index=X_index
    Key                       : Lower : Value : Upper : Fixed : Stale : Domain
          ('Mix', 'Pack', 98) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 99) :     0 :     0 :     1 : False : False : Binary
         ('Mix', 'Pack', 100) :     0 :     0 :     1 : False : False : Binary
         ('Mix', 'Pack', 101) :     0 :     0 :     1 : False : False : Binary
         ('Mix', 'Pack', 102) :     0 :     0 :     1 : False : False : Binary
         ('Mix', 'Pack', 103) :     0 :     0 :     1 : False : False : Binary
         ('Mix', 'Pack', 104) :     0 :     0 :     1 : False : False : Binary
         ('Mix', 'Pack', 105) :     0 :     0 :     1 : False : False : Binary
         ('Mix', 'Pack', 106) :     0 :     0 :     1 : False : False : Binary
         ('Mix', 'Pack', 107) :     0 :     0 :     1 : False : False : Binary
         ('Mix', 'Pack', 108) :     0 :     0 :     1 : False : False : Binary
         ('Mix', 'Pack', 109) :     0 :     0 :     1 : False : False : Binary
         ('Mix', 'Pack', 110) :     0 :     0 :     1 : False : False : Binary
         ('Mix', 'Pack', 111) :     0 :     0 :     1 : False : False : Binary
         ('Mix', 'Pack', 112) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_large', 0) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_large', 1) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_large', 2) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_large', 3) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_large', 4) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_large', 5) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_large', 6) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_large', 7) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_large', 8) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_large', 9) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 10) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 11) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 12) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 13) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 14) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 15) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 16) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 17) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 18) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 19) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 20) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 21) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 22) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 23) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 24) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 25) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 26) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 27) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 28) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 29) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 30) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 31) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 32) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 33) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 34) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 35) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 36) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 37) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 38) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 39) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 40) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 41) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 42) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 43) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 44) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 45) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 46) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 47) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 48) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 49) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 50) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 51) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 52) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 53) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 54) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 55) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 56) :     0 :     0 :     1 : False : False : Binary
